Date,Close,High,Low,Open,Volume
2018-01-02,42.59078598022461,42.639553311689475,40.17207441248393,40.51342713061278,37097000
2018-01-03,43.868412017822266,43.936681815174914,42.961394743937184,43.40027467007915,43376700
2018-01-04,45.72146224975586,45.81898947576675,43.89767261586566,44.853457288813296,52229500
2018-01-05,44.668148040771484,45.50689553461976,44.25852924819907,44.98999456672838,47381100
2018-01-08,44.42432403564453,44.95097993142363,43.80014092379885,44.19025722891481,32217400
2018-01-09,41.90808868408203,44.42432751588752,41.713030516243016,44.15124831316796,62982900
2018-01-10,42.23968505859375,42.298199902715815,40.367131917763054,40.91329402559388,53348000
2018-01-11,41.76179885864258,42.912638086785876,41.56674066870845,42.44450066319928,39402200
2018-01-12,41.75204086303711,42.278693054032956,41.625252502045086,41.76179209676345,28458500
2018-01-16,41.85932159423828,42.77609387226376,41.37167803202903,42.07388595214639,38174800
2018-01-17,43.16619873046875,43.283235843067146,41.917832626148204,42.14214817799177,38077100
2018-01-18,42.902889251708984,43.54657871020535,42.82486448319998,43.117449924257286,25152100
2018-01-19,41.69352722167969,43.10769438614922,41.59599999120263,42.863872589531205,41469200
2018-01-22,41.820308685302734,41.820308685302734,40.649963510893606,41.420441153758965,37879400
2018-01-23,42.86388397216797,43.556337165544114,41.674032098167125,42.18118201625885,41334100
2018-01-24,42.01536560058594,42.863864245934366,41.683767872915055,42.678557335503065,31305700
2018-01-25,41.947113037109375,43.614857461766874,41.800822146809715,43.13696495776439,40519200
2018-01-26,42.59078598022461,42.727329299731174,41.96660282989476,42.15190976044115,27177500
2018-01-29,42.22018051147461,42.34696515895042,41.33266937701832,42.18116813359353,29455000
2018-01-30,40.64020919799805,41.74228459564923,40.4451547662083,40.95230447379623,38861900
2018-01-31,42.63956069946289,42.87362756117872,41.71303704747564,41.91784648158342,45114600
2018-02-01,41.4399528503418,43.00041081007397,41.059587734758416,41.97636004147315,35713500
2018-02-02,39.81121826171875,41.16686670607595,39.60640886805866,40.96205731241586,40657400
2018-02-05,38.42631149291992,40.50367024340482,38.04594641593937,39.14802183089101,45796800
2018-02-06,42.79559326171875,42.844356866106956,39.547885867605956,39.547885867605956,66972800
2018-02-07,40.9718132019043,42.48351132226463,40.708488934662235,42.19092218901723,51354800
2018-02-08,39.011478424072266,41.9665967241599,39.011478424072266,41.46920201123976,53794100
2018-02-09,39.411354064941406,40.17207686071394,36.5927747622198,40.03553725331121,65189300
2018-02-12,41.147361755371094,41.625254075373405,39.8697380247084,39.99652267006763,47941100
2018-02-13,41.57648849487305,41.85931891533077,40.94255041640166,41.01082021310782,30296800
2018-02-14,42.376220703125,42.55177265996788,40.89378402335434,40.89378402335434,36765900
2018-02-15,42.42500305175781,42.83462198507362,41.21564500593853,42.64931871339641,35072300
2018-02-16,43.11745071411133,43.99521077378837,42.06414236292468,42.22018818237551,49404600
2018-02-20,43.79039764404297,44.15125287354149,42.81511042453578,42.932143849157505,36215900
2018-02-21,43.43929672241211,44.42433524680343,43.41979053019114,44.2487832372405,31618700
2018-02-22,43.156463623046875,43.722132050690085,42.95165418011089,43.67336470867365,24359600
2018-02-23,45.38011169433594,45.643439681705,43.90742967655936,44.063475477915986,48476700
2018-02-26,46.79427719116211,47.03809897960319,45.545910824879826,45.809238802847226,41966100
2018-02-27,47.379451751708984,47.77931933623946,46.24811508087371,46.482185634942276,44731100
2018-02-28,47.603763580322266,48.23769794828508,47.155128697260565,47.59400862611171,45031400
2018-03-01,46.443172454833984,47.60376652975108,45.61417987597192,47.564754151341646,61278800
2018-03-02,47.89635467529297,48.03289428713555,44.81444729218413,45.21431489276256,52492900
2018-03-05,50.74418258666992,51.06602908987679,47.51598492348745,47.594005950661256,70984100
2018-03-06,52.41192626953125,53.289682358253145,51.89502161728946,52.080328532789714,73096300
2018-03-07,52.636253356933594,53.64079802023083,51.81701192926214,52.021821356073616,61670000
2018-03-08,53.85536193847656,54.09918374555706,52.958095753799064,53.24092994291456,51685900
2018-03-09,53.24093246459961,54.45029032198572,52.294902617783684,54.38201678997801,65504600
2018-03-12,57.90279769897461,59.65831384445076,54.95743002670423,55.103724589004436,138651600
2018-03-13,57.96132278442383,61.85271691034589,57.07381151707093,60.63360782220039,142315800
2018-03-14,58.30266571044922,58.5757486473688,56.137530727454724,57.8540345060871,80306900
2018-03-15,57.385894775390625,58.663522252758824,56.79096903188654,58.292912102302566,50963700
2018-03-16,59.08290100097656,59.19017946897978,57.74675484381552,58.51723263305283,69323100
2018-03-19,58.65376663208008,59.48276291394016,57.298118134464595,58.86833098839623,71373300
2018-03-20,59.6388053894043,59.736332607532354,58.3221656221262,58.61475099693526,53890500
2018-03-21,59.560791015625,60.19472920518081,59.10240482562539,59.83387025030108,51220200
2018-03-22,57.46391677856445,58.80981407993776,56.67393657244821,58.58549848311308,74274700
2018-03-23,52.87031173706055,57.346879585038735,52.35341077497008,56.26431033049647,118369500
2018-03-26,54.18695831298828,55.30853636366464,51.417142508931455,54.8696563784324,70260700
2018-03-27,51.10505294799805,54.09918448207529,50.40284494351003,53.69931686183641,67785100
2018-03-28,50.21753692626953,52.031567897792584,49.44705918585276,50.64666193236769,62987500
2018-03-29,50.851470947265625,51.37812689641946,49.87618380605861,50.87097713654079,61458800
2018-04-02,48.822879791259766,50.4418564348951,48.33523617907532,50.26630443687466,59875500
2018-04-03,50.27605056762695,50.49061492573965,49.07644784989939,49.54458522361562,52436400
2018-04-04,52.07057571411133,52.17785788634188,48.04263910097942,48.39374303903401,60272800
2018-04-05,48.60831832885742,50.909996911783956,47.974380106798165,50.77345728744522,89203500
2018-04-06,47.26241683959961,49.23249743090525,46.09207145500685,46.54070639472478,79392200
2018-04-09,46.77477264404297,48.59856236432737,46.73576026362049,47.91586058863551,50532900
2018-04-10,49.232486724853516,49.495814658155744,47.43795851749453,48.032884175648675,50346500
2018-04-11,49.232486724853516,50.51986525182576,48.87163158088733,49.03742858310099,38942200
2018-04-12,51.29034423828125,51.612187018426006,49.83716494977695,49.85667113651674,46656300
2018-04-13,50.939247131347656,52.16811101735185,50.30531271942186,52.080335025494406,43598900
2018-04-16,50.37358856201172,51.18307505471446,50.05174197980145,50.958759430943196,30879500
2018-04-17,50.968505859375,51.3976345951812,50.46135980502725,50.5686382685535,33325300
2018-04-18,52.67525863647461,52.92883538518033,49.427554281323,50.17852585183561,55393600
2018-04-19,50.149261474609375,52.763031230390176,49.72013648501293,51.592689673231675,52635000
2018-04-20,49.36903762817383,50.783204829614604,48.91065516843751,50.22729141642606,38510800
2018-04-23,47.80857467651367,49.62260930009495,47.60376527589645,49.55433949988921,43693000
2018-04-24,45.94578170776367,49.017934230430065,45.29233733320668,48.43276338432947,61915400
2018-04-25,46.42366409301758,47.14537817811548,44.94123098708811,46.384655436858914,43781200
2018-04-26,48.900901794433594,48.93991417707622,47.62327788650498,48.06215416974501,39041400
2018-04-27,46.34564971923828,50.12001026602264,46.02380314681745,49.8469310315508,50049800
2018-04-30,44.84369659423828,46.51143650037025,44.200007311849205,45.897008358379345,54743800
2018-05-01,45.63367462158203,45.71169563841033,44.287777667369575,44.463329605763555,34154900
2018-05-02,44.75592041015625,45.584916603069395,44.55111103042494,44.775426596858,31640800
2018-05-03,45.4678840637207,45.711705841420404,44.20976651831332,44.60963408492382,30489600
2018-05-04,46.40416717529297,46.521200598616694,44.999751213706524,45.17530320890483,28632200
2018-05-07,47.28192138671875,47.89635334334907,46.921066176823295,47.06735701954699,33996900
2018-05-08,47.36968994140625,47.652524068183446,46.696743241538684,47.3306775679698,25205500
2018-05-09,49.74939727783203,49.76890346782936,47.77932045363077,47.847590258408765,36489100
2018-05-10,51.35862731933594,51.378133511122435,50.324821477205596,50.5198796746449,37146300
2018-05-11,50.53938674926758,51.495167840947786,50.402847124802655,51.08554896755301,27646400
2018-05-14,51.690216064453125,52.382669009395684,51.553676466343326,51.680464830484574,33376300
2018-05-15,52.67525863647461,52.83130443551455,51.3878798642888,52.47044922281444,43307300
2018-05-16,55.103721618652344,55.50358918423618,54.10892832174071,54.21621049892114,59011900
2018-05-17,53.34820556640625,55.045203051356495,52.597234046588014,54.62582929716676,54832200
2018-05-18,52.07057571411133,53.299439497302366,51.543919807029454,52.27538510450153,46088800
2018-05-21,54.108924865722656,55.07446067825125,53.182401427936085,54.7916265420088,70858100
2018-05-22,57.57119369506836,59.00486685717535,56.85923459101127,57.59069988262915,111262700
2018-05-23,58.48797607421875,58.51723350043281,56.71295362233967,57.59070989259085,64066800
2018-05-24,59.97041320800781,60.458056821367876,58.088108562803924,58.69278560165126,74725000
2018-05-25,59.8338623046875,60.565327632228545,59.11215193161836,59.346218752993465,54715900
2018-05-29,61.07248306274414,62.398874242203675,59.83386787958488,59.843622834965686,75591900
2018-05-30,61.02371597290039,63.0620699620949,59.41449070582059,62.12579148138792,84737600
2018-05-31,56.166778564453125,58.76104183959155,55.75715608920776,57.766248651623854,101882200
2018-06-01,57.28837203979492,57.87354287443177,55.474337243825076,57.35664184648837,74761500
2018-06-04,57.63947296142578,57.69799153372271,55.220761112868416,56.01074509696224,64350500
2018-06-05,57.94181442260742,58.653773656970024,57.376149761513744,58.322175848595954,41711300
2018-06-06,57.95156478881836,58.117365550731535,56.859244144849555,57.795518982537104,36749000
2018-06-07,58.156375885009766,58.78055908816039,57.11281889466256,58.37093653582694,42264700
2018-06-08,59.87287521362305,60.077684614252014,56.78121685422128,57.181084421345716,57144900
2018-06-11,59.87287521362305,61.00420811478672,59.56078363540031,60.18496679184578,42251500
2018-06-12,59.05363464355469,60.32150716130173,58.45870890235008,60.311755927043926,43633300
2018-06-13,58.56599807739258,59.75584970193714,58.536740650699045,58.809819887640195,33281400
2018-06-14,57.717491149902344,59.07313963007626,57.220092643100735,59.05363344153256,43421900
2018-06-15,56.79096984863281,57.63946862069915,55.883952508676494,57.08355524723239,45854100
2018-06-18,57.00552749633789,57.15181831819489,55.46457220722247,56.17653129078252,36975600
2018-06-19,57.785762786865234,57.99057219244828,55.69864891185661,56.2155499032115,43486600
