Date,Close,High,Low,Open,Volume
2018-01-02,78.69989776611328,79.0295314163328,78.28785919625679,78.86471459122305,22483800
2018-01-03,79.06617736816406,79.21268435312581,78.7182337576362,78.80063869729904,26061400
2018-01-04,79.7620620727539,80.2656710412665,79.26761153616974,79.28592141418987,21912000
2018-01-05,80.7509765625,80.9524201833744,80.05508232288966,80.26568437721414,23407100
2018-01-08,80.83335876464844,81.10805580416533,80.21071819613458,80.76010528933247,22113000
2018-01-09,80.7784423828125,81.24542467261705,80.44880864716666,81.17217117895406,19484300
2018-01-10,80.41217041015625,80.75096253055902,80.03675853399227,80.44879715175412,18652200
2018-01-11,80.65021514892578,80.69599332202112,79.88106779107896,80.69599332202112,17808900
2018-01-12,82.0420150756836,82.20683190606695,80.98901904744741,81.19046261634222,24271500
2018-01-16,80.89745330810547,83.131635390555,80.58613651869443,82.49983639508031,36599700
2018-01-17,82.53646850585938,82.66465860229602,81.26371898706964,81.56588435117158,25621200
2018-01-18,82.49983978271484,83.02175858732727,82.09695962610064,82.22514971945554,24159700
2018-01-19,82.40827178955078,82.96681730165793,82.0969550048803,82.53646187568988,36875000
2018-01-22,83.88247680664062,83.89163523863255,82.17021328766411,82.40828361859657,23601600
2018-01-23,84.14801025390625,84.51427066677205,83.81837658091067,84.14801025390625,23412800
2018-01-24,84.07474517822266,85.54893807194928,83.85499175514703,84.74317086344838,33277500
2018-01-25,84.5417251586914,85.3749606505963,84.17546480568296,84.66991523436909,26383200
2018-01-26,86.12580108642578,86.12580108642578,84.7706467068035,85.26509719207195,29172200
2018-01-29,85.99759674072266,87.39853605717248,85.81447006653588,87.11468761643253,31569900
2018-01-30,84.91716003417969,85.75956117079346,84.33114610443617,85.42992746208309,38635100
2018-01-31,86.99566650390625,87.35276845186678,85.62219532380091,85.84194875658378,48756300
2018-02-01,86.30894470214844,87.96626462210679,85.68630405493057,86.79423681224651,47227900
2018-02-02,84.03813171386719,86.04340210036129,83.78175151548805,85.74123672977026,47867800
2018-02-05,80.57697296142578,85.37496348627676,80.57697296142578,82.92102812119992,51031500
2018-02-06,83.62609100341797,83.76343953076176,78.05895231699519,79.56061371472502,67998600
2018-02-07,82.0511703491211,84.02896525177215,81.67575153320365,82.8569376078551,41107600
2018-02-08,77.83918762207031,82.298386000137,77.61027577150557,82.14272761835343,55628700
2018-02-09,80.74181365966797,81.42854942781467,76.75874760158462,79.02039851574841,63499100
2018-02-12,81.61168670654297,82.20685917959912,80.51291213000731,81.25458461987697,35720300
2018-02-13,82.25262451171875,82.40828292508755,80.39386102569787,81.42854028530053,26407700
2018-02-14,83.54055786132812,83.70614894506195,81.33268610308124,81.42467958989934,34960900
2018-02-15,85.24248504638672,85.2976797451685,83.36578808260747,83.90855467037343,27823900
2018-02-16,84.63529968261719,86.01522304700768,84.45131270815972,85.04927388447307,30596900
2018-02-20,85.29766845703125,85.61044773360791,83.7245565820434,84.15693371502583,30911700
2018-02-21,84.16613006591797,85.88643718218663,84.16613006591797,85.53685909712108,26922500
2018-02-22,84.38690948486328,85.30685831726987,84.04652589015791,84.68129283048728,24392800
2018-02-23,86.53038024902344,86.53958170207245,84.96647012599861,86.10720465124793,26329200
2018-02-26,87.78150939941406,87.80910673935696,86.7051710297284,86.84316474809499,30199800
2018-02-27,86.65917205810547,88.16788749214969,86.65917205810547,88.07589401810351,25869100
2018-02-28,86.26358032226562,88.04828291820002,86.13478807499727,87.24792507990291,31167300
2018-03-01,85.41725158691406,86.99956477391478,84.48810125851891,86.4659927422698,37135600
2018-03-02,85.60124206542969,85.69323554537242,83.58655186701644,84.24891615244834,32830400
2018-03-05,86.14397430419922,86.72353931449281,84.87444794032523,84.9480384838666,23901600
2018-03-06,85.849609375,86.92594763155692,85.50003140804556,86.78795392769419,22175800
2018-03-07,86.34638977050781,86.4199873545871,85.03086278436122,85.70242845644385,26716100
2018-03-08,86.8707504272461,87.48711433207572,86.26358095539521,86.72355527577275,25887800
2018-03-09,88.81183624267578,88.81183624267578,87.39511459541725,87.66190052431503,36937300
2018-03-12,89.0234375,89.42821719619918,88.35187884256258,88.77505442556539,26073700
2018-03-13,86.85235595703125,89.45580531859048,86.44757630253882,89.23501960643607,35387800
2018-03-14,86.3371810913086,87.77230578612534,86.01520046122678,87.50551983015717,32132000
2018-03-15,86.64075469970703,87.00873552335202,85.39882556122436,86.04278673861525,27611000
2018-03-16,87.02716827392578,87.74472732375912,86.40160271431277,87.1007658735634,49081300
2018-03-19,85.45404815673828,86.38319846091478,84.73648917637232,86.2360032758896,33344100
2018-03-20,85.67481994628906,86.26358655308559,85.555229141945,85.60122938442818,23075200
2018-03-21,85.07687377929688,86.52119321075892,84.82848365630595,85.49084795941134,24457100
2018-03-22,82.60220336914062,84.40530216998876,82.48261255218137,83.96372365898506,38604700
2018-03-23,80.20112609863281,83.21855664211645,80.10913263448298,82.3354067527055,44068900
2018-03-26,86.27279663085938,86.47518648817777,83.1633722391695,83.35656064334098,56396800
2018-03-27,82.30785369873047,87.52396382943684,81.42470333416551,87.33997680214816,56569000
2018-03-28,82.2342300415039,83.92693963492772,81.75585971083261,82.62980834170733,52501100
2018-03-29,83.96371459960938,84.90206620225291,81.32346632761482,82.96097388748707,45867500
2018-04-02,81.43387603759766,83.60495606968301,80.50473267352847,83.2277806588136,48515400
2018-04-03,82.52857971191406,82.8413658539587,80.85427371009897,82.40898893273088,37213800
2018-04-04,84.9388656616211,85.33444388572438,80.70710302013464,80.81749237285543,35560000
2018-04-05,84.98484802246094,85.6196147940725,84.08330233677424,85.04004971041677,29771900
2018-04-06,83.00698852539062,85.0584705477869,82.31702688205816,84.16611903275914,38026000
2018-04-09,83.50377655029297,85.71165578956871,83.36578980049512,83.75216673723835,31533900
2018-04-10,85.44486236572266,85.8128433770867,84.30412754728275,84.99408931159506,26812000
2018-04-11,84.50647735595703,85.8220041097717,84.1568994212964,84.64447104707199,24872100
2018-04-12,86.08882904052734,86.62240114460792,85.03088628758245,85.03088628758245,26758900
2018-04-13,85.62883758544922,86.64077988059141,85.04007090396094,86.5211890610759,23346100
2018-04-16,86.63157653808594,87.08235650209282,85.94161494026369,86.53958306210677,20288100
2018-04-17,88.37947082519531,88.81184783471846,87.28472963245811,87.3951260025443,26771000
2018-04-18,88.71985626220703,88.97744077925331,87.87349811078849,88.5174664220559,21043300
2018-04-19,88.41626739501953,89.2994172775778,87.70790298739428,88.71985214114463,23552500
2018-04-20,87.39511108398438,88.41625452235243,86.52116278060467,88.23226762226733,31154400
2018-04-23,87.71712493896484,88.58187913839089,87.05476061758769,88.07590444326863,22331800
2018-04-24,85.66563415527344,88.74746120897072,85.01247135429568,88.53586989831345,34524800
2018-04-25,84.92049407958984,85.83124868737364,83.05299864162895,85.83124868737364,33729300
2018-04-26,86.7143783569336,87.53313225108135,85.64723434916874,86.06121553231306,42529000
2018-04-27,88.14948272705078,90.06297767656801,86.39238438817834,89.78699026357268,48272800
